"Date","Price","Open","High","Low","Vol.","Change %"
"09-09-2021","194.90","189.00","198.85","187.20","3.66M","2.77%"
"08-09-2021","189.65","181.00","191.00","181.00","3.24M","5.10%"
"07-09-2021","180.45","177.00","181.00","176.55","671.73K","2.41%"
"06-09-2021","176.20","176.35","179.50","175.10","722.57K","-2.06%"
"03-09-2021","179.90","180.80","183.00","179.00","864.65K","0.36%"
"02-09-2021","179.25","178.45","180.40","178.35","284.08K","-0.14%"
"01-09-2021","179.50","181.80","181.80","178.10","754.02K","-1.37%"
"31-08-2021","182.00","173.90","187.00","173.20","2.03M","4.57%"
"30-08-2021","174.05","177.00","179.10","173.50","887.91K","-1.42%"
"27-08-2021","176.55","178.55","182.50","175.05","1.03M","-1.73%"
"26-08-2021","179.65","176.60","182.20","175.50","4.70M","2.04%"
"25-08-2021","176.05","172.00","177.00","171.45","1.82M","2.89%"
"24-08-2021","171.10","170.00","171.60","169.10","1.04M","1.75%"
"23-08-2021","168.15","167.20","172.00","166.45","1.50M","1.08%"
"20-08-2021","166.35","162.00","169.00","161.60","612.15K","1.71%"
"18-08-2021","163.55","168.00","170.10","161.30","857.66K","-2.01%"
"17-08-2021","166.90","162.90","167.75","160.90","1.16M","2.36%"
"16-08-2021","163.05","166.00","167.20","162.45","433.73K","-1.98%"
"13-08-2021","166.35","164.60","168.15","164.00","557.57K","1.12%"
"12-08-2021","164.50","164.00","171.00","162.70","3.33M","0.61%"
"11-08-2021","163.50","161.90","164.95","159.80","635.62K","1.71%"
"10-08-2021","160.75","165.55","166.00","159.00","302.53K","-2.87%"
"09-08-2021","165.50","167.00","167.80","157.30","451.10K","-1.11%"
"06-08-2021","167.35","163.90","168.10","162.85","852.73K","2.76%"
"05-08-2021","162.85","165.05","165.05","161.65","228.13K","-1.66%"
"04-08-2021","165.60","166.90","166.90","164.75","418.00K","-0.24%"
"03-08-2021","166.00","164.60","166.85","163.30","758.63K","0.30%"
"02-08-2021","165.50","168.90","168.95","164.60","353.25K","-0.81%"
"30-07-2021","166.85","163.35","168.50","162.05","634.05K","2.05%"
"29-07-2021","163.50","163.90","164.40","161.35","516.82K","0.49%"
"28-07-2021","162.70","160.20","163.80","158.55","451.74K","1.02%"
"27-07-2021","161.05","162.60","162.95","160.05","333.14K","-0.09%"
"26-07-2021","161.20","161.90","162.65","160.55","301.71K","0.06%"
"23-07-2021","161.10","161.50","163.60","160.70","799.10K","-0.19%"
"22-07-2021","161.40","157.90","162.60","156.70","2.19M","3.83%"
"20-07-2021","155.45","154.10","156.00","153.10","782.45K","-0.26%"
"19-07-2021","155.85","155.00","158.80","153.55","1.48M","-0.51%"
"16-07-2021","156.65","161.35","161.95","155.00","1.46M","-2.91%"
"15-07-2021","161.35","165.90","166.75","160.25","849.82K","-2.71%"
"14-07-2021","165.85","170.10","171.45","165.30","1.15M","-1.89%"
"13-07-2021","169.05","169.40","171.00","167.35","812.38K","-0.03%"
"12-07-2021","169.10","173.40","174.40","168.10","553.41K","-2.54%"
"09-07-2021","173.50","173.00","176.30","172.55","1.12M","0.46%"
"08-07-2021","172.70","171.70","176.00","169.15","1.44M","-0.09%"
"07-07-2021","172.85","173.95","174.00","171.50","726.29K","-0.72%"
"06-07-2021","174.10","173.80","177.40","173.25","1.86M","1.07%"
"05-07-2021","172.25","170.00","174.50","169.15","1.32M","1.80%"
"02-07-2021","169.20","163.55","170.00","163.25","3.30M","4.00%"
"01-07-2021","162.70","157.40","164.00","157.30","1.14M","3.50%"
"30-06-2021","157.20","157.05","161.25","156.10","2.79M","1.85%"
"29-06-2021","154.35","162.50","163.90","151.00","4.71M","-4.75%"
"28-06-2021","162.05","158.45","164.00","157.10","2.34M","3.38%"
"25-06-2021","156.75","156.90","160.50","156.00","3.15M","0.26%"
