index,Value
21-03-2022,120.325312
22-03-2022,120.3066416
23-03-2022,120.2879712
24-03-2022,120.2693008
25-03-2022,120.2506304
26-03-2022,120.23196
27-03-2022,120.2132896
28-03-2022,120.1946192
29-03-2022,120.1759488
30-03-2022,120.1572784
31-03-2022,120.138608
01-04-2022,90.1301
02-04-2022,90.13112588
03-04-2022,90.13215175
04-04-2022,90.13317763
05-04-2022,90.13420351
06-04-2022,90.13522938
07-04-2022,90.13625526
08-04-2022,90.13728113
09-04-2022,90.13830701
10-04-2022,90.13933289
11-04-2022,90.14035876
12-04-2022,90.14138464
13-04-2022,90.14241052
14-04-2022,90.14343639
15-04-2022,90.14446227
16-04-2022,90.14548814
17-04-2022,90.14651402
18-04-2022,90.1475399
19-04-2022,90.14856577
20-04-2022,90.14959165
21-04-2022,90.15061753
22-04-2022,90.1516434
23-04-2022,90.15266928
24-04-2022,90.15369515
25-04-2022,90.15472103
26-04-2022,90.15574691
27-04-2022,90.15677278
28-04-2022,90.15779866
29-04-2022,90.15882454
30-04-2022,90.15985041
01-05-2022,69.11617
02-05-2022,69.13073578
03-05-2022,69.14530156
04-05-2022,69.15986734
05-05-2022,69.17443312
06-05-2022,69.1889989
07-05-2022,69.20356468
08-05-2022,69.21813046
09-05-2022,69.23269624
10-05-2022,69.24726202
11-05-2022,69.2618278
12-05-2022,69.27639358
13-05-2022,69.29095936
14-05-2022,69.30552514
15-05-2022,69.32009091
16-05-2022,69.33465669
17-05-2022,69.34922247
18-05-2022,69.36378825
19-05-2022,69.37835403
20-05-2022,69.39291981
21-05-2022,69.40748559
22-05-2022,69.42205137
23-05-2022,69.43661715
24-05-2022,69.45118293
25-05-2022,69.46574871
26-05-2022,69.48031449
27-05-2022,69.49488027
28-05-2022,69.50944605
29-05-2022,69.52401183
30-05-2022,69.53857761
31-05-2022,69.55314339
01-06-2022,65.47729
02-06-2022,65.49420042
03-06-2022,65.51111084
04-06-2022,65.52802126
05-06-2022,65.54493168
06-06-2022,65.56184209
07-06-2022,65.57875251
08-06-2022,65.59566293
09-06-2022,65.61257335
10-06-2022,65.62948377
11-06-2022,65.64639419
12-06-2022,65.66330461
13-06-2022,65.68021503
14-06-2022,65.69712544
15-06-2022,65.71403586
16-06-2022,65.73094628
17-06-2022,65.7478567
18-06-2022,65.76476712
19-06-2022,65.78167754
20-06-2022,65.79858796
21-06-2022,65.81549838
22-06-2022,65.8324088
23-06-2022,65.84931921
24-06-2022,65.86622963
25-06-2022,65.88314005
26-06-2022,65.90005047
27-06-2022,65.91696089
28-06-2022,65.93387131
29-06-2022,65.95078173
30-06-2022,65.96769215
01-07-2022,81.29209
02-07-2022,81.29881047
03-07-2022,81.30553094
04-07-2022,81.31225141
05-07-2022,81.31897188
06-07-2022,81.32569235
07-07-2022,81.33241282
08-07-2022,81.33913329
09-07-2022,81.34585376
10-07-2022,81.35257423
11-07-2022,81.3592947
12-07-2022,81.36601517
13-07-2022,81.37273564
14-07-2022,81.37945611
15-07-2022,81.38617659
16-07-2022,81.39289706
17-07-2022,81.39961753
18-07-2022,81.406338
19-07-2022,81.41305847
20-07-2022,81.41977894
21-07-2022,81.42649941
22-07-2022,81.43321988
23-07-2022,81.43994035
24-07-2022,81.44666082
25-07-2022,81.45338129
26-07-2022,81.46010176
27-07-2022,81.46682223
28-07-2022,81.4735427
29-07-2022,81.48026317
30-07-2022,81.48698364
31-07-2022,81.49370411
01-08-2022,72.41811
02-08-2022,72.43054824
03-08-2022,72.44298648
04-08-2022,72.45542472
05-08-2022,72.46786296
06-08-2022,72.4803012
07-08-2022,72.49273945
08-08-2022,72.50517769
09-08-2022,72.51761593
10-08-2022,72.53005417
11-08-2022,72.54249241
12-08-2022,72.55493065
13-08-2022,72.56736889
14-08-2022,72.57980713
15-08-2022,72.59224537
16-08-2022,72.60468361
17-08-2022,72.61712186
18-08-2022,72.6295601
19-08-2022,72.64199834
20-08-2022,72.65443658
21-08-2022,72.66687482
22-08-2022,72.67931306
23-08-2022,72.6917513
24-08-2022,72.70418954
25-08-2022,72.71662778
26-08-2022,72.72906602
27-08-2022,72.74150427
28-08-2022,72.75394251
29-08-2022,72.76638075
30-08-2022,72.77881899
31-08-2022,72.79125723
01-09-2022,67.74023
02-09-2022,67.75568234
03-09-2022,67.77113468
04-09-2022,67.78658702
05-09-2022,67.80203936
06-09-2022,67.81749169
07-09-2022,67.83294403
08-09-2022,67.84839637
09-09-2022,67.86384871
10-09-2022,67.87930105
11-09-2022,67.89475339
12-09-2022,67.91020573
13-09-2022,67.92565807
14-09-2022,67.94111041
15-09-2022,67.95656274
16-09-2022,67.97201508
17-09-2022,67.98746742
18-09-2022,68.00291976
19-09-2022,68.0183721
20-09-2022,68.03382444
21-09-2022,68.04927678
22-09-2022,68.06472912
23-09-2022,68.08018146
24-09-2022,68.0956338
25-09-2022,68.11108613
26-09-2022,68.12653847
27-09-2022,68.14199081
28-09-2022,68.15744315
29-09-2022,68.17289549
30-09-2022,68.18834783
01-10-2022,90.50302
02-10-2022,90.50380559
03-10-2022,90.50459119
04-10-2022,90.50537678
05-10-2022,90.50616237
06-10-2022,90.50694796
07-10-2022,90.50773356
08-10-2022,90.50851915
09-10-2022,90.50930474
10-10-2022,90.51009034
11-10-2022,90.51087593
12-10-2022,90.51166152
13-10-2022,90.51244711
14-10-2022,90.51323271
15-10-2022,90.5140183
16-10-2022,90.51480389
17-10-2022,90.51558948
18-10-2022,90.51637508
19-10-2022,90.51716067
20-10-2022,90.51794626
21-10-2022,90.51873186
22-10-2022,90.51951745
23-10-2022,90.52030304
24-10-2022,90.52108863
25-10-2022,90.52187423
26-10-2022,90.52265982
27-10-2022,90.52344541
28-10-2022,90.52423101
29-10-2022,90.5250166
30-10-2022,90.52580219
31-10-2022,90.52658778
01-11-2022,77.12625
02-11-2022,77.13565465
03-11-2022,77.14505929
04-11-2022,77.15446394
05-11-2022,77.16386858
06-11-2022,77.17327323
07-11-2022,77.18267787
08-11-2022,77.19208252
09-11-2022,77.20148716
10-11-2022,77.21089181
11-11-2022,77.22029646
12-11-2022,77.2297011
13-11-2022,77.23910575
14-11-2022,77.24851039
15-11-2022,77.25791504
16-11-2022,77.26731968
17-11-2022,77.27672433
18-11-2022,77.28612898
19-11-2022,77.29553362
20-11-2022,77.30493827
21-11-2022,77.31434291
22-11-2022,77.32374756
23-11-2022,77.3331522
24-11-2022,77.34255685
25-11-2022,77.35196149
26-11-2022,77.36136614
27-11-2022,77.37077079
28-11-2022,77.38017543
29-11-2022,77.38958008
30-11-2022,77.39898472
01-12-2022,78.09209
02-12-2022,78.10087233
03-12-2022,78.10965465
04-12-2022,78.11843698
05-12-2022,78.1272193
06-12-2022,78.13600163
07-12-2022,78.14478396
08-12-2022,78.15356628
09-12-2022,78.16234861
10-12-2022,78.17113093
11-12-2022,78.17991326
12-12-2022,78.18869559
13-12-2022,78.19747791
14-12-2022,78.20626024
