"Date","Price","Open","High","Low","Vol.","Change %"
"02-02-2023","343.75","330.45","347.50","330.45","1.35M","3.41%"
"01-02-2023","332.40","337.45","343.00","324.20","949.63K","-0.14%"
"31-01-2023","332.85","330.00","335.90","330.00","590.48K","0.86%"
"30-01-2023","330.00","333.90","335.00","327.15","1.02M","-4.72%"
"27-01-2023","346.35","355.65","358.00","340.50","1.31M","-3.25%"
"25-01-2023","358.00","359.00","359.00","352.50","1.11M","0.86%"
"24-01-2023","354.95","348.00","357.00","345.20","1.28M","2.53%"
"23-01-2023","346.20","360.00","360.00","341.80","2.11M","-1.93%"
"20-01-2023","353.00","345.00","356.80","340.20","5.82M","-6.50%"
"19-01-2023","377.55","364.00","383.00","364.00","3.15M","4.48%"
"18-01-2023","361.35","351.05","363.90","350.50","2.25M","3.97%"
"17-01-2023","347.55","346.00","351.95","342.65","809.64K","0.91%"
"16-01-2023","344.40","351.50","352.80","340.00","388.73K","-1.52%"
"13-01-2023","349.70","345.10","350.00","345.10","647.06K","1.33%"
"12-01-2023","345.10","341.00","345.90","337.05","599.87K","1.68%"
"11-01-2023","339.40","345.00","347.15","337.30","507.76K","-1.25%"
"10-01-2023","343.70","340.70","345.60","340.10","780.96K","1.48%"
"09-01-2023","338.70","334.50","341.70","334.10","535.18K","1.77%"
"06-01-2023","332.80","337.70","338.45","330.30","330.91K","-1.45%"
"05-01-2023","337.70","334.55","340.55","333.30","1.19M","1.70%"
"04-01-2023","332.05","332.50","333.95","330.35","638.13K","0.12%"
"03-01-2023","331.65","329.45","336.10","328.00","1.35M","2.01%"
"02-01-2023","325.10","323.30","326.45","323.25","241.38K","1.06%"
"30-12-2022","321.70","327.95","329.80","320.55","327.33K","-1.38%"
"29-12-2022","326.20","320.25","326.60","320.25","447.46K","0.60%"
"28-12-2022","324.25","319.85","326.35","318.70","297.66K","0.82%"
"27-12-2022","321.60","315.25","324.50","313.50","366.02K","2.40%"
"26-12-2022","314.05","311.20","315.95","307.00","351.08K","0.29%"
"23-12-2022","313.15","312.25","315.50","308.25","993.24K","-2.20%"
"22-12-2022","320.20","324.00","326.45","311.10","752.26K","-0.97%"
"21-12-2022","323.35","331.00","333.00","320.00","790.39K","-1.57%"
"20-12-2022","328.50","321.95","328.95","320.20","1.04M","1.39%"
"19-12-2022","324.00","319.95","324.90","318.25","699.82K","1.36%"
"16-12-2022","319.65","318.60","324.40","317.10","1.12M","0.19%"
"15-12-2022","319.05","318.50","319.50","317.60","388.02K","0.27%"
"14-12-2022","318.20","318.00","319.80","316.15","420.85K","0.32%"
"13-12-2022","317.20","317.45","319.50","316.25","337.99K","0.02%"
"12-12-2022","317.15","316.60","318.25","312.60","529.14K","0.06%"
"09-12-2022","316.95","319.70","319.70","312.55","638.32K","-0.08%"
"08-12-2022","317.20","317.00","318.40","315.10","490.93K","0.68%"
"07-12-2022","315.05","316.65","318.30","312.00","444.70K","0.00%"
"06-12-2022","315.05","314.50","318.90","313.15","830.57K","0.32%"
"05-12-2022","314.05","306.10","315.00","306.10","1.23M","2.83%"
"02-12-2022","305.40","308.00","311.00","304.20","828.05K","-0.52%"
"01-12-2022","307.00","308.80","309.50","304.90","604.60K","-0.08%"
"30-11-2022","307.25","301.50","307.60","301.50","495.92K","1.35%"
"29-11-2022","303.15","298.30","303.95","297.30","495.66K","0.68%"
"28-11-2022","301.10","297.10","301.95","296.40","576.40K","1.35%"
"25-11-2022","297.10","293.40","297.80","293.40","683.38K","0.30%"
"24-11-2022","296.20","300.50","301.40","292.80","1.09M","-1.61%"
"23-11-2022","301.05","304.10","305.70","300.05","1.78M","-5.79%"
"22-11-2022","319.55","324.35","324.80","319.10","1.19M","-1.53%"
"21-11-2022","324.50","323.90","325.00","320.65","1.15M","0.34%"
"18-11-2022","323.40","326.15","326.80","322.00","1.23M","-0.26%"
"17-11-2022","324.25","321.95","326.80","319.95","2.64M","1.63%"
"16-11-2022","319.05","320.00","321.55","315.55","1.64M","1.51%"
"15-11-2022","314.30","311.50","315.00","309.65","996.54K","1.60%"
"14-11-2022","309.35","303.00","310.00","302.30","2.42M","4.32%"
"11-11-2022","296.55","295.15","298.30","293.30","941.42K","1.26%"
"10-11-2022","292.85","292.15","293.55","289.25","452.30K","0.24%"
"09-11-2022","292.15","291.80","295.00","291.00","603.70K","0.46%"
"07-11-2022","290.80","290.35","293.30","288.50","644.15K","0.66%"
"04-11-2022","288.90","286.75","291.00","286.55","359.04K","1.07%"
"03-11-2022","285.85","286.25","290.90","285.15","317.64K","-0.83%"
"02-11-2022","288.25","283.60","293.00","283.60","1.15M","1.64%"
"01-11-2022","283.60","283.00","284.70","282.60","288.83K","-0.04%"
"31-10-2022","283.70","284.95","285.10","282.10","419.18K","0.07%"
"28-10-2022","283.50","284.00","285.50","283.00","169.73K","-0.21%"
"27-10-2022","284.10","286.00","287.80","283.10","284.66K","-0.04%"
