Date,Price,Open,High,Low,Vol.,Change %,WAD,MA20,MA10
15-12-2022,294.4,295.45,299,293.4,376.43K,-0.47%,-375.1,279.85499999999996,274.81
14-12-2022,295.8,299.6,300.25,295.2,437.59K,-0.69%,-373.7,280.6775,276
13-12-2022,297.85,301,304.55,296.5,546.60K,-0.57%,-371.65,281.40500000000003,278.79
12-12-2022,299.55,295,301.8,292,617.55K,1.25%,-364.1,282.15749999999997,282.375
09-12-2022,295.85,302.85,306.1,294.05,732.36K,-1.81%,-374.35,283.01,286.63
08-12-2022,301.3,305.6,308.2,300.05,688.25K,-0.99%,-368.9,284.025,289.755
07-12-2022,304.3,311.6,311.6,303,707.53K,-1.97%,-365.9,285.01750000000004,293.38
06-12-2022,310.4,312,319.8,308.55,1.15M,0.19%,-359.8,286.04,296.545
05-12-2022,309.8,309.9,314.5,306,665.11K,0.45%,-364.5,286.8525,299.53499999999997
02-12-2022,308.4,309.7,312.5,307.5,470.71K,-0.42%,-368.6,287.8925,301.765
01-12-2022,309.7,308.9,313.9,304.05,1.37M,0.50%,-362.95,289.05249999999995,303.29499999999996
30-11-2022,308.15,310.4,310.75,306.35,413.77K,-0.24%,-365.55,290.265,304.53
29-11-2022,308.9,312.8,315.9,307.75,521.02K,-0.96%,-364.4,292.2125,305.635
28-11-2022,311.9,307.8,318.35,306.3,1.16M,1.40%,-358.8,294.62250000000006,306.87
25-11-2022,307.6,301.45,309.55,298.55,1.18M,2.23%,-363.1,297.3375,308.04499999999996
24-11-2022,300.9,303.35,306.6,299.4,781.77K,-0.23%,-369.8,298.88,308.005
23-11-2022,301.6,298.7,312.8,298.5,1.52M,1.26%,-366.7,300.5575,307.735
22-11-2022,297.85,304.6,307.3,297,572.37K,-2.02%,-376.15,301.5125,306.47999999999996
21-11-2022,304,304.2,307.5,301.7,335.83K,-0.30%,-370,302.71750000000003,305.9
18-11-2022,304.9,311.3,312.5,302.9,472.23K,-1.57%,-368,303.65749999999997,305.55
17-11-2022,309.75,313.9,315.7,308.5,397.78K,-1.56%,-363.15,304.425,305.555
16-11-2022,314.65,317,319.7,314,308.67K,-1.16%,-358.25,305.3675,306.20500000000004
15-11-2022,318.35,318.45,320.45,314.15,432.50K,-0.03%,-354.05,306.3925,307.15
14-11-2022,318.45,322.15,323.65,317.3,436.73K,-0.93%,-352.9,307.3375,307.80499999999995
11-11-2022,321.45,325.1,329.45,320.05,723.34K,-0.54%,-349.9,308.6175,309.19
10-11-2022,323.2,327,329.7,318.95,599.39K,-1.61%,-345.65,309.7125,311.41999999999996
09-11-2022,328.5,334.8,338.4,325.5,968.95K,-1.17%,-340.35,310.9225,314.11
07-11-2022,332.4,326.55,343.5,326,2.28M,2.31%,-333.95,312.0225,317.565
04-11-2022,324.9,331.2,337.7,323.5,1.09M,-1.81%,-346.75,312.77750000000003,319.65500000000003
03-11-2022,330.9,332.6,336.8,329.5,826.54K,-2.03%,-340.75,313.90250000000003,322.255
02-11-2022,337.75,349.9,350,334.95,1.24M,-3.04%,-333.9,315.305,325.05499999999995
01-11-2022,348.35,339,351.4,339,4.10M,3.17%,-323.3,317.315,328.425
31-10-2022,337.65,325.5,339.8,325.5,6.73M,6.10%,-334,318.7525,330.35499999999996
28-10-2022,318.25,316.2,325.5,314.6,1.21M,1.16%,-353.4,319.07,330.335
27-10-2022,314.6,312.3,318.65,311.1,611.80K,1.35%,-357.45,319.42,329.65
25-10-2022,310.4,318,319.25,308.45,454.30K,-1.96%,-366.3,319.895,328.37
24-10-2022,316.6,315.45,317.8,313,142.45K,1.36%,-360.1,320.64500000000004,327.18
21-10-2022,312.35,318,319.75,310.2,576.48K,-1.54%,-367.5,321.37,325.175
20-10-2022,317.25,316.25,319.7,311.4,678.77K,-0.41%,-361.65,322.03249999999997,324.40999999999997
19-10-2022,318.55,323,324,315.15,1.29M,-1.09%,-358.25,322.71500000000003,323.175
18-10-2022,322.05,326.8,328.2,320.25,1.12M,-0.71%,-354.75,323.33000000000004,321.605
17-10-2022,324.35,318.6,328.5,311.75,1.32M,1.20%,-342.15,323.81499999999994,319.205
14-10-2022,320.5,325.7,329.1,318.5,863.44K,0.09%,-350.75,323.9225,317.49
13-10-2022,320.2,326.8,328.05,318,1.02M,-2.73%,-358.6,324.01000000000005,317.68500000000006
12-10-2022,329.2,328.2,332,317.1,1.14M,0.72%,-346.5,324.3975,319.145
11-10-2022,326.85,345,351.5,322.1,1.96M,-5.33%,-371.15,324.58,320.79
10-10-2022,345.25,340.6,346.95,333.85,3.22M,0.07%,-352.75,325.41749999999996,323.655
07-10-2022,345,330,347.75,328,5.55M,4.34%,-355.5,326.0475,326.91999999999996
06-10-2022,330.65,300,334.2,298.15,10.89M,12.75%,-369.85,326.335,328.26
04-10-2022,293.25,296.5,299.7,292,1.11M,0.46%,-407.25,324.4525,325.73
03-10-2022,291.9,300,304.9,289.1,835.13K,-2.81%,-420.25,322.15999999999997,322.71500000000003
30-09-2022,300.35,296.3,305,292,1.25M,0.43%,-411.8,319.76,320.315
29-09-2022,299.05,299,302,286.35,1.17M,2.40%,-414.75,317.83000000000004,318.17
28-09-2022,292.05,295,300.7,290.1,837.89K,-2.41%,-423.4,316.52,315.35499999999996
27-09-2022,299.25,297.75,308.6,296.55,1.11M,1.05%,-416.2,315.75249999999994,312.36
26-09-2022,296.15,310.3,316,293.25,2.04M,-7.19%,-436.05,315.04,309.29
23-09-2022,319.1,328.5,333.25,316.2,846.32K,-3.78%,-413.1,315.16499999999996,306.675
22-09-2022,331.65,335.5,340.25,329.05,905.62K,-1.68%,-400.55,316.13,305.34000000000003
21-09-2022,337.3,340,347.45,333.25,1.23M,-0.52%,-394.9,317.13250000000005,306.005
20-09-2022,339.05,346,353.8,336,1.95M,-1.52%,-391.85,318.15749999999997,310.585
19-09-2022,344.3,328.7,348.7,319.35,1.79M,4.54%,-366.9,319.27,315.825
16-09-2022,329.35,342.55,345.7,322,1.48M,-3.26%,-383.25,319.52000000000004,318.725
15-09-2022,340.45,348.4,348.4,337.3,1.09M,-1.26%,-372.15,320.51750000000004,322.865
14-09-2022,344.8,341.8,356.2,337,1.81M,0.22%,-364.35,321.7475,328.14
13-09-2022,344.05,350.6,351.25,342.1,932.34K,-1.33%,-371.55,322.49,332.62
12-09-2022,348.7,351.25,354.9,348,785.55K,-0.07%,-366.9,323.58250000000004,337.875
09-09-2022,348.95,353.45,355,346,875.56K,-0.75%,-363.95,323.76750000000004,340.86
08-09-2022,351.6,355.05,359.9,348,1.13M,-0.34%,-360.35,324.0975,342.855
07-09-2022,352.8,359.55,366.8,350.7,1.62M,-1.77%,-358.25,325.20500000000004,344.40500000000003
06-09-2022,359.15,358.75,364.8,351.1,1.94M,0.91%,-350.2,328.5,346.415
05-09-2022,355.9,351.5,369,344,3.29M,2.04%,-363.3,331.7,347.575
02-09-2022,348.8,356.45,358.8,343.25,1.71M,-1.26%,-373.3,334.1225,349.52000000000004
01-09-2022,353.25,342,358.5,342,4.28M,3.58%,-362.05,336.8325,350.8
30-08-2022,341.05,319.65,346,319.65,7.90M,7.23%,-374.25,339.2825,350.425
29-08-2022,318.05,309,325,307.55,805.96K,-0.44%,-397.25,340.2225,347.825
26-08-2022,319.45,322.35,326.9,317.05,615.74K,-0.67%,-394.85,341.3875,344.9
25-08-2022,321.6,325.65,327.7,318.45,776.59K,-1.08%,-391.7,341.5125,342.16499999999996
24-08-2022,325.1,320.55,327.8,317.85,1.47M,1.93%,-384.45,341.185,339.515
